LotArea,NumBedrooms,NumBathrooms,SqftLiving,NumFloors,AgeOfHouse,Location,Condition,SalePrice
11028,1,3,2544,2,79,Rural,Average,466331.1428294673
8300,4,1,1281,1,21,Downtown,Poor,402542.02283694956
9457,4,2,2138,1,60,Rural,Good,489318.94038697664
11981,2,3,1619,1,29,Downtown,Poor,458979.2208387059
11235,2,1,1954,1,22,Suburb,Average,446928.8913974246
5545,5,1,2004,1,24,Downtown,Poor,475054.6576144091
9400,2,2,1845,2,67,Downtown,Good,532405.2850248617
7197,4,2,2569,2,9,Suburb,Average,540804.0634351275
7293,4,1,2889,1,38,Rural,Poor,538729.6455450129
8321,4,1,2056,2,64,Downtown,Average,496565.07164647843
7788,2,1,2435,2,79,Downtown,Poor,525504.6963394263
10408,3,3,2326,2,14,Suburb,Average,480208.2073720465
9022,1,2,1341,2,69,Suburb,Poor,302927.6384954917
7743,5,1,2472,2,81,Rural,Excellent,594899.4952208056
8387,3,2,2495,1,58,Suburb,Excellent,624996.3654058771
8167,1,3,2370,1,67,Downtown,Good,599077.6325341754
10488,2,1,2267,2,83,Downtown,Good,575511.9863160222
7089,5,2,1796,1,82,Rural,Good,418122.6430803331
8126,5,3,1209,2,49,Suburb,Good,395515.382979843
5791,2,1,1972,2,1,Rural,Good,427178.94962115685
2394,3,2,2166,1,7,Suburb,Poor,462139.28570547944
8807,1,1,2890,2,8,Downtown,Poor,615735.5112618936
9228,4,2,2434,2,31,Downtown,Excellent,688565.4367087126
6015,4,2,1849,2,14,Rural,Poor,327707.46933777916
12039,1,3,2361,1,78,Suburb,Poor,461978.90774735407
4591,4,3,2370,2,20,Downtown,Good,615420.769356497
7591,3,3,1707,2,18,Downtown,Good,583469.268069135
7125,2,3,2004,1,35,Suburb,Average,493057.90709505323
10565,4,3,2582,2,44,Rural,Average,502697.165698484
10438,2,2,2097,2,31,Rural,Excellent,556467.3743212712
7809,4,3,2851,2,65,Rural,Average,565367.3187858514
8256,4,2,2025,1,90,Rural,Good,483202.8734022874
5724,5,2,3296,1,24,Rural,Poor,589453.1489454793
3538,4,1,1408,2,38,Downtown,Excellent,531627.2430554857
6804,5,2,1950,1,41,Suburb,Excellent,593763.9839398189
7812,1,2,1881,2,95,Rural,Poor,325009.9645727802
9960,4,3,1847,2,56,Downtown,Excellent,617940.3261115617
9904,4,2,2317,2,75,Rural,Average,451018.3353445173
6725,4,3,3112,1,59,Rural,Excellent,689995.7502697557
6895,5,2,1258,1,35,Downtown,Good,452151.998982156
5402,4,2,1615,2,75,Rural,Good,407284.59827324754
4659,3,3,2405,2,47,Suburb,Average,502011.8016436647
4087,1,1,2476,2,49,Rural,Average,510637.73820691527
11401,2,2,2376,2,29,Downtown,Average,569152.4463389813
6480,2,2,1946,1,50,Suburb,Poor,449788.55642673525
6623,5,3,1358,1,10,Downtown,Excellent,581850.11702711
4994,1,3,2118,1,42,Rural,Excellent,554333.2522760673
9054,1,1,446,2,26,Suburb,Excellent,321869.1989226699
4272,2,1,2007,2,75,Downtown,Average,484802.44280632044
7074,5,1,1020,1,57,Rural,Poor,230293.06304464463
5709,3,2,2148,1,71,Downtown,Good,606263.7069712433
8273,1,2,1484,1,96,Rural,Poor,302745.4678857232
6478,2,3,1653,2,91,Suburb,Average,387018.5734826198
5138,3,3,1542,1,7,Rural,Excellent,458132.5360859044
7443,3,3,1518,2,55,Suburb,Poor,363293.4608684142
8356,3,1,2313,1,84,Downtown,Good,630038.7837077567
7633,4,1,1756,1,17,Suburb,Average,443568.32873532374
8104,3,1,1875,1,74,Downtown,Excellent,555824.7393661102
6231,3,2,1287,2,92,Rural,Average,330125.2270291967
6774,2,2,2275,1,70,Rural,Good,479505.91116000176
6155,5,3,2114,1,56,Suburb,Average,479587.9837824146
6780,4,1,2478,1,28,Rural,Excellent,589676.4838510653
5873,2,2,1853,1,16,Downtown,Poor,488337.8848027772
4047,2,1,1791,2,61,Rural,Poor,358327.96835628175
7854,3,2,1321,2,68,Rural,Good,369816.77699563396
6696,4,1,2116,2,69,Downtown,Excellent,632050.8419582738
4239,5,2,1703,1,88,Suburb,Average,396425.3853675259
8425,5,2,2131,1,44,Rural,Poor,398671.7214828407
5685,2,2,1292,2,54,Rural,Excellent,427486.7457389458
7603,4,2,1730,1,32,Rural,Average,380795.6742964216
8958,2,3,1842,2,76,Rural,Good,416742.916360148
7757,2,1,2128,2,55,Rural,Average,457358.0941332289
9778,5,2,2141,2,65,Suburb,Average,482995.54929208464
5030,5,2,1808,2,12,Suburb,Excellent,543138.2326847547
8304,2,1,2586,1,25,Downtown,Good,665143.7255729524
6130,5,2,1697,1,64,Suburb,Poor,390432.10680945846
5758,5,2,1678,2,69,Downtown,Excellent,583412.1180877598
6342,3,1,2128,1,76,Suburb,Poor,440233.4367492471
6876,3,3,2233,2,30,Downtown,Average,542784.6179640435
7612,1,3,2208,1,40,Downtown,Poor,507222.8634410866
